name,car_name,car_type,is_test
00001_Audi TTS Coupe 2012.jpg,Audi TTS Coupe 2012,Coupe,0
00002_Acura TL Sedan 2012.jpg,Acura TL Sedan 2012,Sedan,0
00003_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Pickup,0
00004_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Sedan,0
00005_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Pickup,0
00006_Geo Metro Convertible 1993.jpg,Geo Metro Convertible 1993,Convertible,0
00007_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Crossover,0
00008_Dodge Charger Sedan 2012.jpg,Dodge Charger Sedan 2012,Sedan,0
00009_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Sedan,0
00010_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Crossover,0
00011_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Sedan,0
00012_Toyota Sequoia SUV 2012.jpg,Toyota Sequoia SUV 2012,SUV,0
00013_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Sedan,0
00014_Dodge Caravan Minivan 1997.jpg,Dodge Caravan Minivan 1997,Minivan,0
00015_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Hatchback,0
00016_Plymouth Neon Coupe 1999.jpg,Plymouth Neon Coupe 1999,Sedan,0
00017_Audi TTS Coupe 2012.jpg,Audi TTS Coupe 2012,Coupe,0
00018_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Sedan,0
00019_Volkswagen Beetle Hatchback 2012.jpg,Volkswagen Beetle Hatchback 2012,Coupe,0
00020_Chevrolet Corvette Ron Fellows Edition Z06 2007.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,Coupe,0
00021_Chrysler 300 SRT-8 2010.jpg,Chrysler 300 SRT-8 2010,Sedan,0
00022_BMW M6 Convertible 2010.jpg,BMW M6 Convertible 2010,Coupe,0
00023_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,SUV,0
00024_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,SUV,0
00025_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
00026_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Sedan,0
00027_Suzuki SX4 Sedan 2012.jpg,Suzuki SX4 Sedan 2012,Sedan,0
00028_Dodge Ram Pickup 3500 Crew Cab 2010.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,Pickup,0
00029_Spyker C8 Coupe 2009.jpg,Spyker C8 Coupe 2009,Coupe,0
00030_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
00031_Land Rover Range Rover SUV 2012.jpg,Land Rover Range Rover SUV 2012,SUV,0
