,name,car_name,car_type,is_test
1,00002_Acura TL Sedan 2012.jpg,Acura TL Sedan 2012,Sedan,0
2,00003_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Pickup,0
3,00004_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Sedan,0
4,00005_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Pickup,0
5,00006_Geo Metro Convertible 1993.jpg,Geo Metro Convertible 1993,Convertible,0
6,00007_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Crossover,0
7,00008_Dodge Charger Sedan 2012.jpg,Dodge Charger Sedan 2012,Sedan,0
8,00009_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Sedan,0
9,00010_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Crossover,0
10,00011_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Sedan,0
11,00012_Toyota Sequoia SUV 2012.jpg,Toyota Sequoia SUV 2012,SUV,0
12,00013_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Sedan,0
13,00014_Dodge Caravan Minivan 1997.jpg,Dodge Caravan Minivan 1997,Minivan,0
14,00015_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Hatchback,0
15,00016_Plymouth Neon Coupe 1999.jpg,Plymouth Neon Coupe 1999,Sedan,0
16,00017_Audi TTS Coupe 2012.jpg,Audi TTS Coupe 2012,Coupe,0
17,00018_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Sedan,0
18,00019_Volkswagen Beetle Hatchback 2012.jpg,Volkswagen Beetle Hatchback 2012,Coupe,0
19,00020_Chevrolet Corvette Ron Fellows Edition Z06 2007.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,Coupe,0
20,00021_Chrysler 300 SRT-8 2010.jpg,Chrysler 300 SRT-8 2010,Sedan,0
21,00022_BMW M6 Convertible 2010.jpg,BMW M6 Convertible 2010,Coupe,0
22,00023_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,SUV,0
23,00024_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,SUV,0
24,00025_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
25,00026_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Sedan,0
26,00027_Suzuki SX4 Sedan 2012.jpg,Suzuki SX4 Sedan 2012,Sedan,0
