img_name,x1,x2,y1,y2,class-name
00001.jpg,39,569,116,375,Audi R8 Coupe 2012
00002.jpg,36,868,116,587,Acura TL Type-S 2008
00003.jpg,85,601,109,381,Dodge Magnum Wagon 2008
00004.jpg,621,1484,393,1096,Hyundai Elantra Sedan 2007
00005.jpg,14,133,36,99,Ford Mustang Convertible 2007
00006.jpg,259,515,289,416,HUMMER H3T Crew Cab 2010
00007.jpg,88,541,80,397,Dodge Dakota Crew Cab 2010
00008.jpg,73,591,79,410,Dodge Charger SRT-8 2009
00009.jpg,20,1269,126,771,Nissan Leaf Hatchback 2012
00010.jpg,21,623,110,367,Chevrolet Camaro Convertible 2012
00011.jpg,51,601,93,393,Buick Enclave SUV 2012
00012.jpg,6,499,62,286,Toyota Camry Sedan 2012
00013.jpg,30,418,36,307,Hyundai Accent Sedan 2012
00014.jpg,31,778,246,540,Dodge Ram Pickup 3500 Crew Cab 2010
00015.jpg,32,589,77,379,Volvo 240 Sedan 1993
00016.jpg,27,611,49,396,Porsche Panamera Sedan 2012
00017.jpg,39,233,52,150,Audi R8 Coupe 2012
00018.jpg,3,190,8,147,Chevrolet Silverado 1500 Extended Cab 2012
00019.jpg,247,1366,287,761,Volvo C30 Hatchback 2012
00020.jpg,17,961,281,596,Chevrolet Traverse SUV 2012
00021.jpg,17,695,156,375,Chrysler Crossfire Convertible 2008
00022.jpg,212,1893,538,1131,BMW X3 SUV 2012
00023.jpg,11,476,28,234,GMC Acadia SUV 2012
00024.jpg,53,973,126,621,Nissan 240SX Coupe 1998
00025.jpg,34,567,87,343,Volvo XC90 SUV 2007
00026.jpg,30,598,174,379,Hyundai Elantra Sedan 2007
00027.jpg,80,606,107,336,Tesla Model S Sedan 2012
00028.jpg,45,585,115,382,Dodge Ram Pickup 3500 Quad Cab 2009
00029.jpg,28,1564,139,1126,Suzuki Aerio Sedan 2007
00030.jpg,82,874,109,521,Volvo XC90 SUV 2007
00031.jpg,55,446,318,564,Land Rover LR2 SUV 2012
00032.jpg,12,471,31,350,Hyundai Azera Sedan 2012
00033.jpg,34,1011,197,656,Chevrolet Malibu Hybrid Sedan 2010
00034.jpg,37,614,63,397,Hyundai Sonata Hybrid Sedan 2012
00035.jpg,223,1111,87,670,Land Rover LR2 SUV 2012
00036.jpg,138,521,41,223,Fisker Karma Sedan 2012
00037.jpg,31,616,87,344,Bentley Continental Supersports Conv. Convertible 2012
00038.jpg,16,459,89,326,Eagle Talon Hatchback 1998
00039.jpg,53,614,113,350,Ford F-450 Super Duty Crew Cab 2012
00040.jpg,214,660,110,403,Isuzu Ascender SUV 2008
00041.jpg,61,566,55,408,Audi TTS Coupe 2012
00042.jpg,28,622,61,371,Volkswagen Beetle Hatchback 2012
00043.jpg,22,588,39,362,GMC Yukon Hybrid SUV 2012
00044.jpg,220,537,193,364,Bentley Continental Supersports Conv. Convertible 2012
00045.jpg,12,489,108,297,Toyota Camry Sedan 2012
00046.jpg,28,759,80,466,BMW ActiveHybrid 5 Sedan 2012
